gene,altered_n,reference_n,altered_mean_dependency,reference_mean_dependency,effect,std_error,conf_low,conf_high,p_value,eligible,fdr
FAT1,60,1148,-0.302583799438807,-0.398865028457599,0.0962812290187916,0.0252695311861991,0.0462187408470061,0.146343717190576,0.000226228836630883,TRUE,0.00782699031681992
STARD9,27,1181,-0.285481866960689,-0.396565681818555,0.111083814857866,0.0272902323358321,0.0560714219805277,0.166096207735202,0.000193839588539576,TRUE,0.00782699031681992
NECTIN3,13,1195,-0.278685963887117,-0.395338211803447,0.11665224791633,0.0261389115061857,0.0622913105591237,0.171013185273536,0.000215182761447795,TRUE,0.00782699031681992
ZNF518A,21,1187,-0.261903111133082,-0.396421327128776,0.134518215995694,0.0319798664562899,0.0690792164260463,0.199957215565341,0.000232079364045242,TRUE,0.00782699031681992
MXRA8,20,1188,-0.255238844017596,-0.396420289356313,0.141181445338717,0.0331696723885831,0.0730602224635958,0.209302668213836,0.000231532344263,TRUE,0.00782699031681992
NRXN1,24,1184,-0.241202797479848,-0.39718176815552,0.155978970675672,0.0371525726491271,0.0800892306959361,0.231868710655407,0.000222331937032322,TRUE,0.00782699031681992
DCHS2,24,1184,-0.240086411271925,-0.39720439760568,0.157117986333756,0.03710194577215,0.0813340649743206,0.232901907693189,0.000200738827283009,TRUE,0.00782699031681992
DYSF,23,1185,-0.236324234059571,-0.397144829748761,0.16082059568919,0.0377711358329749,0.0834869567078619,0.238154234670517,0.000206065234095796,TRUE,0.00782699031681992
HDAC4,18,1190,-0.219191816883132,-0.396728258766181,0.177536441883049,0.0399447867303053,0.0945202879857402,0.260552595780357,0.000219488244328343,TRUE,0.00782699031681992
TMEM131,10,1198,-0.210410905375465,-0.395616002989897,0.185205097614433,0.0351149954355272,0.108705788076814,0.26170440715205,0.000195691774834192,TRUE,0.00782699031681992
